2014-10-03 23:14:11 status unpacked liblocale-gettext-perl:armhf 1.05-7
2014-10-03 23:14:11 status unpacked liblocale-gettext-perl:armhf 1.05-7
2014-10-03 23:14:11 install liblzma5:armhf <none> 5.1.1alpha+20120614-2
2014-10-03 23:14:11 status half-installed liblzma5:armhf 5.1.1alpha+20120614-2
2014-10-03 23:14:11 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2
2014-10-03 23:14:11 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2
2014-10-03 23:14:11 install libmount1:armhf <none> 2.20.1-5.3
2014-10-03 23:14:11 status half-installed libmount1:armhf 2.20.1-5.3
2014-10-03 23:14:11 status unpacked libmount1:armhf 2.20.1-5.3
2014-10-03 23:14:11 status unpacked libmount1:armhf 2.20.1-5.3
2014-10-03 23:14:11 install libncurses5:armhf <none> 5.9-10
2014-10-03 23:14:11 status half-installed libncurses5:armhf 5.9-10
2014-10-03 23:14:12 status unpacked libncurses5:armhf 5.9-10
2014-10-03 23:14:12 status unpacked libncurses5:armhf 5.9-10
2014-10-03 23:14:12 install libncursesw5:armhf <none> 5.9-10
2014-10-03 23:14:12 status half-installed libncursesw5:armhf 5.9-10
2014-10-03 23:14:12 status unpacked libncursesw5:armhf 5.9-10
2014-10-03 23:14:12 status unpacked libncursesw5:armhf 5.9-10
2014-10-03 23:14:12 install libnih-dbus1:armhf <none> 1.0.3-4.1
2014-10-03 23:14:12 status half-installed libnih-dbus1:armhf 1.0.3-4.1
2014-10-03 23:14:12 status unpacked libnih-dbus1:armhf 1.0.3-4.1
2014-10-03 23:14:12 status unpacked libnih-dbus1:armhf 1.0.3-4.1
2014-10-03 23:14:12 install libnih1:armhf <none> 1.0.3-4.1
2014-10-03 23:14:12 status half-installed libnih1:armhf 1.0.3-4.1
2014-10-03 23:14:12 status unpacked libnih1:armhf 1.0.3-4.1
2014-10-03 23:14:12 status unpacked libnih1:armhf 1.0.3-4.1
2014-10-03 23:14:12 install libpam-modules:armhf <none> 1.1.3-7.1
2014-10-03 23:14:12 status half-installed libpam-modules:armhf 1.1.3-7.1
2014-10-03 23:14:14 status unpacked libpam-modules:armhf 1.1.3-7.1
2014-10-03 23:14:14 status unpacked libpam-modules:armhf 1.1.3-7.1
2014-10-03 23:14:14 install libpam-modules-bin:armhf <none> 1.1.3-7.1
2014-10-03 23:14:14 status half-installed libpam-modules-bin:armhf 1.1.3-7.1
2014-10-03 23:14:14 status unpacked libpam-modules-bin:armhf 1.1.3-7.1
2014-10-03 23:14:14 status unpacked libpam-modules-bin:armhf 1.1.3-7.1
2014-10-03 23:14:14 install libpam-runtime:all <none> 1.1.3-7.1
2014-10-03 23:14:14 status half-installed libpam-runtime:all 1.1.3-7.1
2014-10-03 23:14:15 status unpacked libpam-runtime:all 1.1.3-7.1
2014-10-03 23:14:15 status unpacked libpam-runtime:all 1.1.3-7.1
2014-10-03 23:14:15 install libpam0g:armhf <none> 1.1.3-7.1
2014-10-03 23:14:15 status half-installed libpam0g:armhf 1.1.3-7.1
2014-10-03 23:14:15 status unpacked libpam0g:armhf 1.1.3-7.1
2014-10-03 23:14:15 status unpacked libpam0g:armhf 1.1.3-7.1
2014-10-03 23:14:15 install libprocps0:armhf <none> 1:3.3.3-3
2014-10-03 23:14:15 status half-installed libprocps0:armhf 1:3.3.3-3
2014-10-03 23:14:15 status unpacked libprocps0:armhf 1:3.3.3-3
2014-10-03 23:14:15 status unpacked libprocps0:armhf 1:3.3.3-3
2014-10-03 23:14:15 install libselinux1:armhf <none> 2.1.9-5
2014-10-03 23:14:15 status half-installed libselinux1:armhf 2.1.9-5
2014-10-03 23:14:15 status unpacked libselinux1:armhf 2.1.9-5
2014-10-03 23:14:15 status unpacked libselinux1:armhf 2.1.9-5
2014-10-03 23:14:15 install libsemanage-common:all <none> 2.1.6-6
2014-10-03 23:14:15 status half-installed libsemanage-common:all 2.1.6-6
2014-10-03 23:14:15 status unpacked libsemanage-common:all 2.1.6-6
2014-10-03 23:14:15 status unpacked libsemanage-common:all 2.1.6-6
2014-10-03 23:14:16 install libsemanage1:armhf <none> 2.1.6-6
2014-10-03 23:14:16 status half-installed libsemanage1:armhf 2.1.6-6
2014-10-03 23:14:16 status unpacked libsemanage1:armhf 2.1.6-6
2014-10-03 23:14:16 status unpacked libsemanage1:armhf 2.1.6-6
2014-10-03 23:14:16 install libsepol1:armhf <none> 2.1.4-3
2014-10-03 23:14:16 status half-installed libsepol1:armhf 2.1.4-3
2014-10-03 23:14:16 status unpacked libsepol1:armhf 2.1.4-3
2014-10-03 23:14:16 status unpacked libsepol1:armhf 2.1.4-3
2014-10-03 23:14:16 install libslang2:armhf <none> 2.2.4-15
2014-10-03 23:14:16 status half-installed libslang2:armhf 2.2.4-15
